[2025-04-25T15:25:34.486Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57751, socketId=xH0rUV5VkcA0kWyPAAAz)
[2025-04-25T15:25:34.488Z] - Peer connected (ip=::ffff:192.168.1.6, port=57752, socketId=eQaERHUer_AUQUSYAAA1)
[2025-04-25T15:25:34.536Z] - User offline status updated (ip=::ffff:192.168.1.6, port=57752, socketId=OXSA77a7dOQ8mxU9AAAu)
[2025-04-25T15:25:34.561Z] - User online status updated (ip=::ffff:192.168.1.6, port=57752, socketId=eQaERHUer_AUQUSYAAA1)
[2025-04-25T15:25:37.405Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65175, socketId=nyu-KBJDvimZxUavAAAx)
[2025-04-25T15:25:37.418Z] - Peer connected (ip=::ffff:192.168.1.8, port=65177, socketId=zJA1BBw1rwkqbI76AAA3)
[2025-04-25T15:25:37.434Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65177, socketId=zJA1BBw1rwkqbI76AAA3)
[2025-04-25T15:25:37.441Z] - Peer connected (ip=::ffff:192.168.1.8, port=65175, socketId=Q608GsiiQ0f_hQAxAAA5)
[2025-04-25T15:25:37.460Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57752, socketId=eQaERHUer_AUQUSYAAA1)
[2025-04-25T15:25:37.471Z] - User offline status updated (ip=::ffff:192.168.1.8, port=65175, socketId=nyu-KBJDvimZxUavAAAx)
[2025-04-25T15:25:37.474Z] - Peer connected (ip=::ffff:192.168.1.6, port=57751, socketId=1ZUZ3SEmspiFd60fAAA7)
[2025-04-25T15:25:37.478Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57751, socketId=1ZUZ3SEmspiFd60fAAA7)
[2025-04-25T15:25:37.479Z] - Peer connected (ip=::ffff:192.168.1.6, port=57754, socketId=24efslp5KSQkjZ67AAA9)
[2025-04-25T15:25:37.513Z] - User online status updated (ip=::ffff:192.168.1.8, port=65175, socketId=Q608GsiiQ0f_hQAxAAA5)
[2025-04-25T15:25:37.566Z] - User online status updated (ip=::ffff:192.168.1.6, port=57754, socketId=24efslp5KSQkjZ67AAA9)
[2025-04-25T15:25:37.916Z] - User offline status updated (ip=::ffff:192.168.1.6, port=57752, socketId=eQaERHUer_AUQUSYAAA1)
[2025-04-25T15:26:36.375Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65093, socketId=4LvnMehAFTFBJ9JSAAAO)
[2025-04-25T15:26:36.377Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65168, socketId=rG2zQgrXc3Hr-6NLAAAZ)
[2025-04-25T15:26:36.380Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65170, socketId=v7oVuXPD9vCRXqi2AAAf)
[2025-04-25T15:26:36.385Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65168, socketId=teiG036gEjb35ikOAAAj)
[2025-04-25T15:26:36.385Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65170, socketId=lg8gaV38latY6KJyAAAn)
[2025-04-25T15:26:36.386Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65175, socketId=Q608GsiiQ0f_hQAxAAA5)
[2025-04-25T15:26:36.454Z] - User offline status updated (ip=::ffff:192.168.1.8, port=65175, socketId=Q608GsiiQ0f_hQAxAAA5)
[2025-04-25T15:26:37.075Z] - Peer connected (ip=::ffff:192.168.1.8, port=65199, socketId=sl7vPv2kpJqQIWpLAAA_)
[2025-04-25T15:26:37.194Z] - Peer registered (ip=::ffff:192.168.1.8, port=65199, socketId=sl7vPv2kpJqQIWpLAAA_)
[2025-04-25T15:26:37.196Z] - Peer connected (ip=::ffff:192.168.1.8, port=65199, socketId=ZxgGKWAUEXtEuYngAABB)
[2025-04-25T15:26:37.319Z] - User online status updated (ip=::ffff:192.168.1.8, port=65199, socketId=ZxgGKWAUEXtEuYngAABB)
[2025-04-25T15:28:32.112Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65199, socketId=ZxgGKWAUEXtEuYngAABB)
[2025-04-25T15:28:32.188Z] - User offline status updated (ip=::ffff:192.168.1.8, port=65199, socketId=ZxgGKWAUEXtEuYngAABB)
[2025-04-25T15:28:44.978Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57754, socketId=24efslp5KSQkjZ67AAA9)
[2025-04-25T15:28:45.046Z] - User offline status updated (ip=::ffff:192.168.1.6, port=57754, socketId=24efslp5KSQkjZ67AAA9)
[2025-04-25T15:28:45.838Z] - Peer connected (ip=127.0.0.1, port=57798, socketId=ewQ-cdD7rBZqzSmnAABD)
[2025-04-25T15:28:45.842Z] - User joined channel (ip=127.0.0.1, port=57798, socketId=ewQ-cdD7rBZqzSmnAABD)
[2025-04-25T15:28:45.959Z] - Peer disconnected (ip=127.0.0.1, port=57798, socketId=ewQ-cdD7rBZqzSmnAABD)
[2025-04-25T15:28:45.963Z] - Peer connected (ip=127.0.0.1, port=57796, socketId=io4Gd2xVkp8Do6Q4AABF)
[2025-04-25T15:28:45.967Z] - User joined channel (ip=127.0.0.1, port=57796, socketId=io4Gd2xVkp8Do6Q4AABF)
[2025-04-25T15:28:49.488Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65199, socketId=sl7vPv2kpJqQIWpLAAA_)
[2025-04-25T15:28:50.140Z] - Peer connected (ip=::ffff:192.168.1.8, port=65235, socketId=OFCsHM1oKAkLca4TAABH)
[2025-04-25T15:28:50.295Z] - Peer registered (ip=::ffff:192.168.1.8, port=65235, socketId=OFCsHM1oKAkLca4TAABH)
[2025-04-25T15:29:31.447Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65235, socketId=OFCsHM1oKAkLca4TAABH)
[2025-04-25T15:29:32.047Z] - Peer connected (ip=::ffff:192.168.1.8, port=65284, socketId=IDYBSMx4XUskCpGCAABJ)
[2025-04-25T15:29:32.099Z] - Peer registered (ip=::ffff:192.168.1.8, port=65284, socketId=IDYBSMx4XUskCpGCAABJ)
[2025-04-25T15:30:54.364Z] - Peer connected (ip=::ffff:192.168.1.8, port=65358, socketId=3hqfx0zxe1SExs9DAABL)
